epoch,loss
0.0,0.7074513227185782
1.0,0.5781259177362218
2.0,0.5157362181583748
3.0,0.47756417512017135
4.0,0.4470467269420624
5.0,0.4358820743749247
6.0,0.4160932586254442
7.0,0.40508902157821197
8.0,0.39378951709060106
9.0,0.386263680534766
10.0,0.38114899492767806
11.0,0.37046810754520054
12.0,0.36658750855199557
13.0,0.3589121350908981
14.0,0.35209046035785885
15.0,0.349907386719304
16.0,0.3477893824524739
17.0,0.34264952914022345
18.0,0.33987749551477675
19.0,0.34071047258946824
20.0,0.3343622244291884
21.0,0.3354799246744198
22.0,0.3287513669963707
23.0,0.3238675923031919
24.0,0.32100632377242777
25.0,0.31985831073047044
26.0,0.3187478900722721
27.0,0.31751194144325223
28.0,0.31730123965398355
29.0,0.3111696470912327
30.0,0.31016415116541524
31.0,0.3091881113839062
32.0,0.30792665448697176
33.0,0.30666427988120737
34.0,0.30481580206576514
35.0,0.3033183647922295
36.0,0.29946984986172004
37.0,0.30107651683775816
38.0,0.29756899835432277
39.0,0.2977009415352607
40.0,0.29472870081115293
41.0,0.2947875691906494
42.0,0.2917988791459185
43.0,0.29042407169061546
44.0,0.2925115248790997
45.0,0.2883080134907847
46.0,0.29168188732172196
47.0,0.28837049011524546
48.0,0.2888455320807064
49.0,0.28443174694171725
50.0,0.28623381755588684
51.0,0.285303281592753
52.0,0.28369569970185265
53.0,0.28631254071917606
54.0,0.2842781678499544
55.0,0.286063528551227
56.0,0.28012863461695175
57.0,0.2818448523141663
58.0,0.2790921055711806
59.0,0.27705883757923455
60.0,0.2784845298430061
61.0,0.27651888685410514
62.0,0.2786002924446674
63.0,0.27828702479874823
64.0,0.2763687916483511
65.0,0.27794490298530194
66.0,0.27576483865542445
67.0,0.27653325940756235
68.0,0.27272709334433515
69.0,0.27280130196253166
70.0,0.27140671361292545
71.0,0.27443853085038855
72.0,0.27345708048190265
73.0,0.2704032674048315
74.0,0.2727416963179541
75.0,0.2689268133493469
76.0,0.26960370267796163
77.0,0.27080269094200476
78.0,0.2695549351081033
79.0,0.271794124835116
80.0,0.26987763668191345
81.0,0.268405931234798
82.0,0.2687299054061227
83.0,0.26599796890171573
84.0,0.2679138807579875
85.0,0.265334939926534
86.0,0.2665656330063939
87.0,0.265416652238106
88.0,0.26568928176044104
89.0,0.26476086005020666
90.0,0.26332187339636115
91.0,0.26411202154122293
92.0,0.2640830470618847
93.0,0.2625651354833013
94.0,0.2604548546814305
95.0,0.2656075482338886
96.0,0.26172202782404114
97.0,0.26221921022378786
98.0,0.2599648656871389
99.0,0.2596467803369331
